customer_id,customer_name,product_name,unit_price,quantity,purchase_date
191,Melissa Singh,EVEREST TURMERIC POWDER  (500 g),171,2,2024-04-23
325,Michael Simmons,RUCHI Kashmiri Chilly Powder  (100 g),120,1,2024-04-23
499,Brian Martin,"Sofit Soya Drink  (Vanilla, 1 L)",110,2,2024-04-23
158,Mary Salinas,Dr Oetker Fun Foods Veg Mayonnaise De'lite 750 g,112,4,2024-04-23
199,Andre White,PARLE Monaco Pizza Cookies  (300 g),130,4,2024-04-23
236,Sue Beck,Tata Sampann Brown Chana (Whole)  (500 g),55,1,2024-04-23
363,Franklin Mccoy,Cadbury Celebrations Assorted Chocolate Gift Pack Bars  (178.8 g),173,3,2024-04-23
273,Anthony Haley,Fortune Chakki Fresh Atta (Whole-Gehuro otta)  (10 kg),394,2,2024-04-23
247,Sarah Huynh,Classic Soya Chunks by Flipkart Grocery  (1 kg),127,3,2024-04-23
45,Jonathan Wright,Nikunj Premium Green Tea Green Tea Plastic Bottle  (250 g),129,2,2024-04-23
224,Jennifer Farmer,INDIA GATE Regular Choice Basmati Rice (Basmati chaula) (Medium Grain)  (10 kg),805,2,2024-04-23
227,Mary Rivas,Sugar free GREEN 100 PELLETS Sweetener  (10 g),64,4,2024-04-23
239,Michael Hartman,Chupa Chups Bites Mixed Fruit Sour Candy  (61.6 g),3,2,2024-04-23
307,Joshua Ewing,"MTR Gulab Jamun Mix 350 g  (Combo Pack 1 + 1 Free, 160 g each)",138,2,2024-04-23
421,Joseph Wilson,Catch Hing (Hengu)  (50 g),143,2,2024-04-23
138,Jeff Bowen,"B Natural Apple Juice, Goodness of fiber, Vitamin C & E  (2 x 1 L)",159,2,2024-04-23
194,Barbara Martin,"Farmley Roasted & Salted, Crunchy & Healthy Kaju Cashews  (200 g)",237,3,2024-04-23
49,Stacie Brock,HORLICKS Chocolate Delight Flavour Mix  (500 g),236,3,2024-04-23
341,Benjamin Daniels,Snapin Cinnamon Powder  (40 g),67,2,2024-04-23
